sim,gate,omp,ctrl,tgt,qubits,gate_name,t_avg,t_ratio,kernel
LightningOMPBinStream,CNOT,1,0,1,30,CNOT,706.853,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,1,30,CNOT,192.103,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,1,30,CNOT,79.5336,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,1,30,CNOT,76.0103,1/1000,AVX512
LightningOMPBinStream,CNOT,1,0,2,30,CNOT,720.712,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,2,30,CNOT,188.061,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,2,30,CNOT,79.44,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,2,30,CNOT,76.1591,1/1000,AVX512
LightningOMPBinStream,CNOT,1,0,3,30,CNOT,707.77,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,3,30,CNOT,191.865,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,3,30,CNOT,79.389,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,3,30,CNOT,76.1647,1/1000,AVX512
LightningOMPBinStream,CNOT,1,0,4,30,CNOT,693.007,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,4,30,CNOT,191.895,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,4,30,CNOT,79.7324,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,4,30,CNOT,76.0859,1/1000,AVX512
LightningOMPBinStream,CNOT,1,0,5,30,CNOT,720.097,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,5,30,CNOT,191.958,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,5,30,CNOT,79.4118,1/1000,AVX512
LightningOMPBinStream,CNOT,32,0,5,30,CNOT,76.0126,1/1000,AVX512
LightningOMPBinStream,CNOT,1,0,6,30,CNOT,720.022,1/1000,AVX512
LightningOMPBinStream,CNOT,4,0,6,30,CNOT,191.885,1/1000,AVX512
LightningOMPBinStream,CNOT,16,0,6,30,CNOT,79.5526,1/1000,AVX512
